Jennifer Behm:34:Wilmington, Delaware:Realtor
Adrien Nieto:28:Ventura, California:Server
Christian Collins:31:Gloucester, Massachusetts:Stay-at-home dad
Susan Singh:27:Chicago, Illinois:Neural Engineer
Benjamin Starr:33:Dallas, Texas:Travel Writer
Tracy Kontos:32:Coral Springs, Florida:Sales Consultant
Derrick Prince:33:West Babylon, New York:Web Designer/Blogger
Christine Corley:27:Sopchoppy, Florida:Single Mom
Alejandra Schrader:37:Playa del Rey, California:Architect/Urban Planner
Giuseppe Morisco:38:Chicago, Illinois:Granite Salesman
Erryn Cobb:26:Chicago, Illinois:Public Relations
Esther Kang:28:Los Angeles, California:Lawyer
Jennifer Kelley:37:Dallas, Texas:Musician
Max Kramer:18:New York, New York:College Student
Alvin Schultz:28:Houston, Texas:Retail Manager
Anthony Scruggs:52:Grant Park, Illinois:Trucker
Angel Moore-Soukkay:37:Columbus, Ohio:Property Manager
Mark Raffaeli:35:Chicago, Illinois:Realtor
