Shaun O'Neale:33:Las Vegas, Nevada:DJ
Brandi Mudd:27:Irvington, Kentucky:Elementary School Teacher
David Williams:35:Las Vegas, Nevada:Professional Poker Player
Tanorria Askew:34:Chattanooga, Tennessee:Credit Union Coordinator
Daniel Paustian:26:Charlotte, North Carolina:Server
Katie Dixon:33:Hattiesburg, Mississippi:Fitness Trainer/Retail Associate
Nathan Barnhouse:20:Slippery Rock, Pennsylvania:Tuxedo Salesman
Eric Howard:26:Queens, New York:Fireman
Terence Mueller:40:Long Island, New York:Handyman
Diamond Alexander:24:San Diego, California:Web Designer
Andrea Galan:21:Miami, Florida:Student
Alejandro Toro:26:Miami, Florida:Voice Over Artist
D'Andre Balaoing:25:Las Vegas, Nevada:Bartender
Diana Bilow:23:Plainfield, Illinois:Server
Emmanuel Washington Jr.:29:Orlando, Florida:Fireman
Lisa-Ann Marchesi:46:Gillette, New Jersey:Insurance Manager
Brittany Craig:22:New Hartford, New York:Server
Barbara Savage:51:Denver, Colorado:Investigator
William Travers:62:Pauma Valley, California:Retired
Cassandra Peterson:25:Clear Lake, Iowa:Bakery Clerk
