1:Audition #1:June 6, 2011 (2011-06-06)
2:Audition #2:June 7, 2011 (2011-06-07)
3:Audition #3/Top 38 Revealed:June 13, 2011 (2011-06-13)
4:Top 18 Revealed:June 14, 2011 (2011-06-14)
5:2 Eliminated / Top 16 Revealed:June 20, 2011 (2011-06-20)
6:Top 16 Compete:June 21, 2011 (2011-06-21)
7:Top 15 Compete:June 27, 2011 (2011-06-27)
8:Top 14 Compete:June 28, 2011 (2011-06-28)
9:Top 13 Compete:July 5, 2011 (2011-07-05)
10:Top 12 Compete:July 11, 2011 (2011-07-11)
11:Top 11 Compete:July 18, 2011 (2011-07-18)
12:Top 10 Compete:July 19, 2011 (2011-07-19)
13:Top 9 Compete:July 26, 2011 (2011-07-26)
14:Top 8 Compete:August 1, 2011 (2011-08-01)
15:Top 8 Compete Again:August 2, 2011 (2011-08-02)
16:Top 6 Compete:August 8, 2011 (2011-08-08)
17:Top 5 Compete:August 9, 2011 (2011-08-09)
18:Top 4 Compete:August 15, 2011 (2011-08-15)
19:Top 3 Compete:August 16, 2011 (2011-08-16)
20:Winner Revealed:August 16, 2011 (2011-08-16)
