1:Auditions #1:June 4, 2012 (2012-06-04)
2:Auditions #2:June 5, 2012 (2012-06-05)
3:Auditions #3/Top 36 Bootcamp:June 11, 2012 (2012-06-11)
4:Top 18 Compete:June 12, 2012 (2012-06-12)
5:Top 16 Compete:June 18, 2012 (2012-06-18)
6:Top 15 Compete:June 19, 2012 (2012-06-19)
7:Top 14 Compete:June 25, 2012 (2012-06-25)
8:Top 13 Compete:June 26, 2012 (2012-06-26)
9:Top 12 Compete:July 2, 2012 (2012-07-02)
10:Top 11 Compete:July 3, 2012 (2012-07-03)
11:Top Nine Compete:July 9, 2012 (2012-07-09)
12:Top 8 Compete:July 16, 2012 (2012-07-16)
13:Top 7 Compete:July 17, 2012 (2012-07-17)
14:Top 6 Compete, Part 1:July 23, 2012 (2012-07-23)
15:Top 6 Compete, Part 2:July 24, 2012 (2012-07-24)
16:Top 6 Compete, Part 3:August 14, 2012 (2012-08-14)
17:Top 5 Compete:August 21, 2012 (2012-08-21)
18:Top 4 Compete:August 28, 2012 (2012-08-28)
19:Top 3 Compete:September 4, 2012 (2012-09-04)
20:Winner Chosen:September 10, 2012 (2012-09-10)
