1:Let the Battle Commence (Top 40):May 20, 2015 (2015-05-20)
2:The Battle Continues (Top 40):May 20, 2015 (2015-05-20)
3:You're the Apple of My Eye (Top 22):May 27, 2015 (2015-05-27)
4:Cinnamon Roll-er Coaster (Top 20):June 3, 2015 (2015-06-03)
5:Clawing to Victory (Top 19):June 10, 2015 (2015-06-10)
6:What Happens in Vegas Steaks in Vegas (Top 18):June 17, 2015 (2015-06-17)
7:Bring Home the Bacon (Top 16):June 24, 2015 (2015-06-24)
8:Happy Birthday MasterChef (Top 14):July 1, 2015 (2015-07-01)
9:Gordon's Greatest Hits (Top 12):July 8, 2015 (2015-07-08)
10:Rice Rice Baby (Top 11):July 15, 2015 (2015-07-15)
11:Moo-vers and Bakers (Top 10):July 22, 2015 (2015-07-22)
12:Family Reunion (Top 10):July 29, 2015 (2015-07-29)
13:A Little Southern Flare (Top 9):August 5, 2015 (2015-08-05)
14:Getting A-Head in the Competition (Top 8):August 12, 2015 (2015-08-12)
15:A Storm's a Brewing (Top 7):August 19, 2015 (2015-08-19)
16:The Restaurant Takeover (Top 6):August 26, 2015 (2015-08-26)
17:Return of the Champions (Top 5):September 2, 2015 (2015-09-02)
18:Think Inside the Box (Top 4):September 9, 2015 (2015-09-09)
19:Team Gordon Ramsay (Top 3):September 16, 2015 (2015-09-16)
20:The Finale (Top 2):September 16, 2015 (2015-09-16)
