1:The Judges Do Battle, Part 1:May 30, 2018 (2018-05-30)
2:The Judges Do Battle, Part 2:May 30, 2018 (2018-05-30)
3:The Judges Do Battle, Part 3:June 6, 2018 (2018-06-06)
4:Home State Heroes:June 6, 2018 (2018-06-06)
5:Gordon Ramsay Masterclass:June 13, 2018 (2018-06-13)
6:Trouble Brewing:June 20, 2018 (2018-06-20)
7:World Cup Dishes:June 27, 2018 (2018-06-27)
8:A Gordon Ramsay Wedding:July 11, 2018 (2018-07-11)
9:The Big Not Easy:July 18, 2018 (2018-07-18)
10:Rise or Fall:July 25, 2018 (2018-07-25)
11:The Kids are Alright:August 1, 2018 (2018-08-01)
12:Frying Tonight:August 8, 2018 (2018-08-08)
13:Just for the Halibut:August 15, 2018 (2018-08-15)
14:Sky's the Limit:August 22, 2018 (2018-08-22)
15:Tag Team:August 22, 2018 (2018-08-22)
16:American Heroes:August 29, 2018 (2018-08-29)
17:Waste Not Want Not:August 29, 2018 (2018-08-29)
18:Restaurant Takeover:September 5, 2018 (2018-09-05)
19:Cooking with Heart:September 5, 2018 (2018-09-05)
20:Battle of the Beef:September 12, 2018 (2018-09-12)
21:The Semi Final:September 12, 2018 (2018-09-12)
22:The Finale, Pt. 1:September 19, 2018 (2018-09-19)
23:The Finale, Pt. 2:September 19, 2018 (2018-09-19)
