Whitney Miller:22:Poplarville, Mississippi:College Student
David Miller:29:Boston, Massachusetts:Software Engineer
Lee Knaz:27:Venice, California:Bartender
Sheetal Bhagat:37:Chicago, Illinois:Teacher
Sharone Hakman:28:Los Angeles, California:Financial Advisor
Michael Kim:34:Redondo Beach, California:Server
Jacob Gandolfo:38:Santa Cruz, California:Construction Worker
Tracy Nailor:42:Atlanta, Georgia:Doctor
Kim Dung Huynh:22:Harvey, Louisiana:College Student
Anthony Carbone:31:Boston, Massachusetts:Server
Faruq Jenkins:30:Glendale, California:Bartender
Jenna Hamiter:23:Euless, Texas:Homemaker
Sheena Zadeh:26:Anaheim, California:Marketing Executive
Avis White:47:Vacherie, Louisiana:Elderly Caregiver
