1:Battle for a White Apron, Part 1:May 31, 2017 (2017-05-31)
2:Battle for a White Apron, Part 2:June 7, 2017 (2017-06-07)
3:America's Grocery Bag:June 14, 2017 (2017-06-14)
4:Feeding the Lifeguards:June 21, 2017 (2017-06-21)
5:Shell-Shocked & Scrambled:June 28, 2017 (2017-06-28)
6:Silenced by the Lambs:July 12, 2017 (2017-07-12)
7:Breakfast, Lunch & Winner:July 19, 2017 (2017-07-19)
8:Whole-y Cow!:July 26, 2017 (2017-07-26)
9:Holy Cannoli:August 2, 2017 (2017-08-02)
10:The MasterChef Returns:August 9, 2017 (2017-08-09)
11:Vegas Deluxe & Oyster Shucks:August 16, 2017 (2017-08-16)
12:In a Pinch:August 23, 2017 (2017-08-23)
13:Gordon's Game of Chicken:August 23, 2017 (2017-08-23)
14:A Mexican Tag Team Challenge:August 30, 2017 (2017-08-30)
15:The Great Outdoors:August 30, 2017 (2017-08-30)
16:Chopsticks & Pasta:September 6, 2017 (2017-09-06)
17:Pop-Up Restaurant:September 6, 2017 (2017-09-06)
18:Something Fishy:September 13, 2017 (2017-09-13)
19:The Semi-Finals:September 13, 2017 (2017-09-13)
20:The Finale, Pt. 1:September 20, 2017 (2017-09-20)
21:The Finale, Pt. 2:September 20, 2017 (2017-09-20)
